Pelipper | PepperBird
Dragonite | dwagon
Tauros | bull
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Azumarill | Judy
Chi-Yu | Blub
Stonjourner | XD
Baxcalibur | GGGSK
Roaring Moon | Rawr
Ting-Lu | Misfits
Arcanine | Snoop Dogg
Dragonite | Best Boy
Iron Hands | Robot Rock
Chien-Pao | tiger
Pelipper | birb
Tauros | bull
Gothitelle | sexi
Ting-Lu | Macs Mom
Amoonguss | Frank
Kingambit | Dennis
Palafin | Macs Mom
Lilligant | TT
Torkoal | Breakthrough
Dragonite | Espresso
Great Tusk | Trouble
Palafin | Almight
Indeedee | Rem
Armarouge | AstroBoy
Amoonguss | Amoooooonguss
Iron Bundle | Delibundle
Iron Valiant | Galiant
Tatsugiri | Barnacle Boy
Iron Hands | Bubble Bass
Indeedee | Mindy
Brute Bonnet | Kevin
Chi-Yu | Gold
Dachsbun | Ginger
Dragonite | Pete
Azumarill | Lizzie
Annihilape | Vecna
Maushold | Bu Ba Bo Biv
Armarouge | Charcuterie
Indeedee | Indupitably
Sylveon | Scream Ribbon
Volcarona | Meat moth
Mimikyu | Pikatwo
Kingambit | Kinga
Annihilape | Angy
Azumarill | Judy
Chien-Pao | Not Chien-Pao
Talonflame | Fire Bird
Mimikyu | $35.00
Roaring Moon | rawr xD
Klefki | Jingle Jingle
Annihilape | Vecna
Armarouge | Charcuterie
Indeedee | Indupitably
Lucario | AElffaed Singh
Salamence | Tatev Messmann
Eiscue | Arnie Reed
Iron Thorns | Bihotz Hirschel
Iron Bundle | Partha
Dudunsparce | Ron Marvin Sr
Arcanine | Peio
Ditto | Changeling
Glimmora | Shimmer
Sylveon | Pixie
Kingambit | KinChad
Dachsbun | Greggs
Chi-Yu | And Chips
Dondozo | Donbrothers
Tatsugiri | The Soosh
Lucario | AElffaed Singh
Kingambit | Evangeline Sherman
Eiscue | Arnie Reed
Iron Thorns | Bihotz Hirschel
Iron Bundle | Partha
Dudunsparce | Ron Marvin Sr
Pelipper | Aurélia
Arcanine | Peio
Scream Tail | Beholder
Corviknight | Roc
Gholdengo | Mimic
Tyranitar | Tarrasque
Flutter Mane | Itachi Rin
Murkrow | Matsuemon
Iron Bundle | Giyu
Chi-Yu | Tanjiro
Brute Bonnet | Enmu
Maushold | Natters
Annihilape | Panda
Maushold | Pancakes
Iron Bundle | Iron Sack
Arcanine | Incineroar
Roaring Moon | Peaceful Moon
Maushold | Pancakes
Iron Bundle | Iron Sack
Arcanine | Incineroar
Roaring Moon | Peaceful Moon
Hydreigon | Coolest Psuedo
Garchomp | Sahara
Grimmsnarl | Based Dark-Fairy
Chi-Yu | glub glub
Dachsbun | Greggs
Chi-Yu | And Chips
Dondozo | Donbrothers
Chi-Yu | Blub
Ceruledge | Shing
Baxcalibur | GGGSK
Roaring Moon | Rawr
Azumarill | Fish fear me
Iron Bundle | Giyu
Chi-Yu | Tanjiro
Gholdengo | Zenitsu
Brute Bonnet | Enmu
Bronzong | Ding Dong
Flutter Mane | Flutter Maine
Hydreigon | Hydrogen
Maushold | Pancakes
Annihilape | Monke Business
Arcanine | Incineroar
Roaring Moon | Peaceful Moon
Arboliva | Super Happy Tree
Maushold | Pancakes
Annihilape | Monke Business
Arcanine | Incineroar
Roaring Moon | Peaceful Moon
Altaria | Midas
Garganacl | Dwayne
Iron Valiant | Sharpie
Ceruledge | Heaven’s door
Bronzong | Ding Dong
Hydreigon | Hydrogen
Murkrow | Matsuemon
Iron Bundle | Giyu
Gholdengo | Zenitsu
Great Tusk | Inosuke
Maushold | Pancakes
Annihilape | Monke Business
Arcanine | Incineroar
Roaring Moon | Peaceful Moon
Murkrow | Matsuemon
Gholdengo | Zenitsu
Great Tusk | Inosuke
Dachsbun | Greggs
Chi-Yu | And Chips
Dondozo | Donbrothers
Garganacl | That Mineral
Dondozo | DozoingOff
Tatsugiri | Sashimi Sam
Glimmora | GlimmoraofHope
Flutter Mane | NotMisdrevus
Glimmora | Wheeeee!
Arcanine | Infurno
Dondozo | Large Marge
Tatsugiri | Pee-wee
Dachsbun | Greggs
Chi-Yu | And Chips
Annihilape | Angy
Azumarill | Judy
Dachsbun | Greggs
Chi-Yu | And Chips
Dondozo | Donbrothers
Garganacl | That Mineral
Palafin | Dozo
Dragapult | Dnite
Arcanine | ChiYu
Flutter Mane | Mimi
Dachsbun | Greggs
Chi-Yu | And Chips
Glimmora | Wheeeee!
Wo-Chien | Grasstrodon
Dondozo | Large Marge
Tatsugiri | Pee-wee
Glimmora | Wheeeee!
Arcanine | Infurno
Dondozo | Large Marge
Tatsugiri | Pee-wee
Sableye | Sablelyse
Palafin | JoJo
Dachsbun | Greggs
Chi-Yu | And Chips
Garganacl | That Mineral
Maushold | Pancakes
Annihilape | Monke Business
Iron Bundle | Iron Sack
Maushold | Pancakes
Annihilape | Monke Business
Iron Bundle | Iron Sack
Arcanine | Incineroar
Maushold | Pancakes
Annihilape | Monke Business
Iron Bundle | Iron Sack
Glimmora | Sulfera
Baxcalibur | King Arthur
Pelipper | not todd
Palafin | librams
Dachsbun | Greggs
Chi-Yu | And Chips
Dondozo | Donbrothers
Garganacl | That Mineral
Glimmora | Wheeeee!
Flutter Mane | Flutter Mid
Dondozo | Large Marge
Tatsugiri | Pee-wee
Glimmora | Wheeeee!
Flutter Mane | Flutter Mid
Dondozo | Large Marge
Tatsugiri | Pee-wee
Abomasnow | Activision
Ceruledge | Roxas
Iron Hands | Tallgeese
Gyarados | Leviathan
Dondozo | joe
Tatsugiri | Elieel
Pelipper | Cawcun
Iron Valiant | Love Wins
Chien-Pao | Bing Chiling
Ting-Lu | The Deer
Iron Bundle | Santa 2077
Chien-Pao | Bundle
Arcanine | ChiYu
Glaceon | Ice Ice Eevee
Sylveon | Don'tHitSoCute
Gastrodon | Gastrosaurus
Flutter Mane | Spectral Spaghetti
Amoonguss | Amogus
Iron Jugulis | Mega Dodrio
Chi-Yu | Fiendish Fish
Flutter Mane | Spectral Spaghetti
Iron Jugulis | Mega Dodrio
Bruxish | Flambuoyant
Chi-Yu | Fiendish Fish
Glimmora | Wheeeee!
Flutter Mane | Flutter Mid
Dondozo | Large Marge
Tatsugiri | Pee-wee
Maushold | Pancakes
Annihilape | Monke Business
Iron Bundle | Iron Sack
Roaring Moon | Peaceful Moon
Iron Jugulis | Mega Dodrio
Great Tusk | Mamoswole
Chi-Yu | Fiendish Fish
Iron Jugulis | Mega Dodrio
Chi-Yu | Fiendish Fish
Arboliva | Super Happy Tree
Garganacl | Mr. Salty
Flutter Mane | Yoda
Wo-Chien | Jabba The Hutt
Gholdengo | C3-P0
Palafin | The Force
Gothitelle | Addams
Scream Tail | LaPetiteMort
Flutter Mane | Grim Shady
Palafin | Bonnie Tyler
Naclstack | Terracotta
Tatsugiri | Kimchi
Flutter Mane | Hey Cutie
Amoonguss | Imposter
Slither Wing | Slither Wang
Chien-Pao | Le Chien
Scream Tail | Scream Frail
Gyarados | Dr. Dos; Phd
Roaring Moon | Moon
Rotom | Whirpool
Ceruledge | Cain
Corviknight | Lancelot♤
Wo-Chien | Darth Gary
Annihilape | Psi Mu Signma
Chien-Pao | Noodle
Arcanine | Slif's Woof
Palafin | Doll-Pugno
Naclstack | Terracotta
Flutter Mane | Hey Cutie
Amoonguss | Imposter
Iron Hands | E for Everyone!
Annihilape | Psi Mu Signma
Chien-Pao | Noodle
Arcanine | Slif's Woof
Palafin | Doll-Pugno
Corviknight | Corviminkia
Ting-Lu | Minkia-Lu
Palafin | Dozo
Chien-Pao | Bundle
Amoonguss | WoChien
Arcanine | ChiYu
Iron Valiant | low rez pc
Talonflame | Dr.Pebba
Armarouge | chilly pepper
Talonflame | ファイアロー
Garchomp | ガブリアス
Amoonguss | モロバレル
Abomasnow | Icesa
Cetitan | ice power
Iron Bundle | aquira
Ting-Lu | Dack
Talonflame | ファイアロー
Iron Bundle | テツノツツミ
Kingambit | ドドゲザン
Amoonguss | モロバレル
Iron Hands | 5UM0
Ting-Lu | Claude
Iron Bundle | 5A1NT_N1K
Amoonguss | Mellow
Dondozo | Gen3WaterLegendary
Palafin | Finn Fury
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Arcanine | ChiYu
Flutter Mane | Mimi
Flutter Mane | 祖母綠
Iron Bundle | 請訂閱馬卡洛妮
Chi-Yu | Yui
Chien-Pao | 這是雪豹
Iron Bundle | Signed Sealed
Gallade | Cut em Off
Corviknight | Dauntless
Talonflame | Maroon
Dondozo | Anti-Hero
Pawmot | Mastermind
Tatsugiri | On Your Own
Great Tusk | 嶑嶼
Iron Bundle | 請訂閱馬卡洛妮
Chi-Yu | Yui
Chien-Pao | 這是雪豹
Abomasnow | Snowbama
Iron Bundle | Iron Claus!!
Great Tusk | 嶑嶼
Flutter Mane | 祖母綠
Iron Bundle | 請訂閱馬卡洛妮
Chi-Yu | Yui
Iron Bundle | 請訂閱馬卡洛妮
Chi-Yu | Yui
Annihilape | Psi Mu Signma
Chien-Pao | Noodle
Arcanine | Slif's Woof
Palafin | Doll-Pugno
Abomasnow | Snowbama
Iron Bundle | Iron Claus!!
Lycanroc | Liecanrock
Armarouge | MegamanMal
Indeedee | Joan
Torkoal | MBAPPEMBAPPE
Breloom | Panchos
Torkoal | Oogway
Scovillain | Jalapeño
Roaring Moon | Void
Annihilape | Doom Monkey
Ting-Lu | THE GOAT
Iron Hands | better incin
Arcanine | big dog
Amoonguss | Sussy baka
Skeledirge | Birb on face
Corviknight | Da biggest birb
Flutter Mane | Goofy ahh
Amoonguss | Cordyceps
Palafin | Orumaito
Amoonguss | Shrom41Mor
Baxcalibur | BlockBuster
Dragonite | ShiningArmor
Iron Valiant | Kenshi
Pelipper | Wet Wet
Chien-Pao | Frozone
Iron Valiant | Galiant
Chien-Pao | Noodle
Flutter Mane | Farter Man
Arcanine | Slif's Woof
Palafin | Doll-Pugno
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Flutter Mane | Mimi
Iron Valiant | Kenshi
Tsareena | Thotiana
Chien-Pao | Frozone
Palafin | Thumperman
Tsareena | Thotiana
Chien-Pao | Frozone
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Iron Bundle | Delibundle
Iron Valiant | Galiant
Flutter Mane | LoveAsChild
Great Tusk | Stone Treads
Farigiraf | Self Loop
Flutter Mane | Gucci Mane
Palafin | Your boy
Amoonguss | Among who?
Iron Bundle | Delibundle
Iron Valiant | Galiant
Ting-Lu | Tingothy
Amoonguss | Sustavo
Palafin | Empapao
Amoonguss | Lupin
Palafin | Ispanico
Arcanine | Zorro
Chien-Pao | Mihawk
Flutter Mane | Feelin U?
Armarouge | Munch
Iron Bundle | God Willing
Iron Hands | Iron Mike
Palafin | Thuperman
Pelipper | Wet Wet
Tsareena | Thotiana
Palafin | PH
Dragapult | DP
Amoonguss | AM
Arcanine | AR
Great Tusk | Tasconi
Chi-Yu | Dentoni
Iron Bundle | Bando
Garganacl | merquetenge
Noivern | oyeronElRempalago
Annihilape | monk te pego
Gholdengo | soy ese
Amoonguss | Among Us
Ting-Lu | Chin-Lu Chin Agua
Flutter Mane | Sadio Mané
Palafin | Enrique Pastor
Ting-Lu | Tingothy
Great Tusk | Trouble
Chien-Pao | Cat
Corviknight | Corviminkia
Ting-Lu | Minkia-Lu
Chi-Yu | Nemo
Dachsbun | Chocnut
Flutter Mane | Joice
Dragapult | Tina
Gholdengo | Summer
Iron Hands | Pl00ch
Amoonguss | Mermis
Pelipper | Emforbes
Sandy Shocks | Pelomagneto
Torkoal | Smoky
Lilligant | Whip
Flutter Mane | Frida Kalo
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Flutter Mane | Mimi
Gallade | King
Drifblim | Balloon Boi
Palafin | Wailad
Flutter Mane | Kirisak1
Gothitelle | chrome
Scream Tail | Flippo
Flutter Mane | Feelin U?
Armarouge | Munch
Great Tusk | Quach
Hydreigon | Gucci Hamish
Lucario | Vox
Palafin | Flipper
Flutter Mane | Trix
Chien-Pao | Poes
Arcanine | Simba
Flutter Mane | Kirisak1
Gothitelle | chrome
Scream Tail | Flippo
Gastrodon | Slug
Dragonite | Hugger
Arcanine | Doggy
Flutter Mane | GucciMane
Bellibolt | Falete
Grimmsnarl | Gremlin
Palafin | Captain Coral
Flutter Mane | Twilight
Dragonite | Dolce
Amoonguss | Amogus
Arcanine | Nugget
Palafin | PalaWIN
Dragonite | My man
Pelipper | Make It Rain
Barraskewda | Final Gambit
Magneton | Boltz
Houndstone | Death Doggo
Slowking | Turban
Gholdengo | GholdenGO NOW
Brute Bonnet | OONGABOONGUS
Sylveon | SubMom
Cetitan | Whalecome
Slowking | Turban
Gholdengo | GholdenGO NOW
Brute Bonnet | OONGABOONGUS
Magneton | Boltz
Garganacl | Don't Be Salty
Houndstone | Death Doggo
Slowbro | Bus Stop
Chi-Yu | Sam
Flutter Mane | Sara
Chien-Pao | Tara
Dragapult | Horizon
Amoonguss | Amogus
Arcanine | Nugget
Palafin | PalaWIN
Amoonguss | Cordyceps
Palafin | Orumaito
Roaring Moon | Highdreigon
Great Tusk | 1OfAKind
Iron Bundle | Arctofish
Flutter Mane | Mimicyou
Flutter Mane | EEEEEEEEEEE
Amoonguss | Amogus
Dragonite | My man
Iron Hands | Grabby Gabby
Flutter Mane | EEEEEEEEEEE
Amoonguss | Amogus
Arcanine | Nugget
Flutter Mane | A Bad Hair Day
Chi-Yu | 金魚
Gastrodon | Best Slug
Tyranitar | Tytar
Lycanroc | Fenrir
Gastrodon | Baboso
Murkrow | Matsuemon
Chi-Yu | Tanjiro
Gholdengo | Zenitsu
Great Tusk | Inosuke
Corviknight | birb
Great Tusk | elephante
Eelektross | immune
Palafin | birb
Flutter Mane | EEEEEEEEEEE
Amoonguss | Amogus
Palafin | PalaWIN
Flutter Mane | Myrtle
Scream Tail | Persephone
Ceruledge | Grim Shady
Salamence | Salami
Wo-Chien | lilsexxi
Palafin | Puck
Flutter Mane | Schierke
Arcanine | Isidro
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Arcanine | Nugget
Palafin | PalaWIN
Dragonite | My man
Flutter Mane | Utah
Indeedee | Nevada
Corviknight | Okalahoma
Mudsdale | Texas
Arcanine | good boi
Gastrodon | GROHAHSHSHSH
Rotom | IRON MUGULIS
Tyranitar | Great Tyrant
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Palafin | Dozo
Chien-Pao | Bundle
Arcanine | ChiYu
Flutter Mane | Mimi
Great Tusk | 1OfAKind
Chi-Yu | Hoondoom
Iron Bundle | Arctofish
Flutter Mane | Mimicyou
Arcanine | good boi
Gastrodon | GROHAHSHSHSH
Rotom | IRON MUGULIS
Tyranitar | Great Tyrant
Chien-Pao | Diego
Arcanine | Bingo
Flutter Mane | Joker
Annihilape | Superlelo
Flutter Mane | Melameneo
Lucario | Vox
Palafin | Flipper
Flutter Mane | Trix
Chien-Pao | Poes
Armarouge | Extremely normal
Indeedee | VGC's Mom
Amoonguss | Mike Crack
Flutter Mane | Myrtle
Scream Tail | Persephone
Ceruledge | Grim Shady
Salamence | Salami
Flutter Mane | A Bad Hair Day
Chi-Yu | 金魚
Annihilape | To Mad to Live
Murkrow | Tweak or Tweet
Flutter Mane | Wraith
Chi-Yu | Darvaza
Gholdengo | Bejeweled
Gholdengo | Bejeweled
Flutter Mane | Myrtle
Scream Tail | Persephone
Ceruledge | Grim Shady
Salamence | Salami
Flutter Mane | Gucci Mane
Arcanine | Noah’s Ark
Palafin | Your boy
Amoonguss | Among who?
Flutter Mane | Gucci Mane
Arcanine | Noah’s Ark
Amoonguss | Among who?
Flutter Mane | Mimi
Orthworm | Chien-Pao
Indeedee | De Rossi
Armarouge | Totti
Torkoal | Naingollan
Kingambit | Abraham
Torkoal | antonio
Indeedee | umberta
Hatterene | pantuflillaS
Sandy Shocks | Pelomagneto
Torkoal | Smoky
Lilligant | Whip
Torkoal | Arizona
Flutter Mane | Utah
Indeedee | Nevada
Hatterene | New Mexico
Flutter Mane | Myrtle
Scream Tail | Persephone
Ceruledge | Grim Shady
Salamence | Salami
Indeedee | De Rossi
Armarouge | Totti
Torkoal | Naingollan
Wo-Chien | Jabba The Hutt
Arcanine | AT-AT
Palafin | The Force
Iron Hands | Darth Vader
Torkoal | Arizona
Flutter Mane | Utah
Indeedee | Nevada
Hatterene | New Mexico
Palafin | Above
Arcanine | CaLdAbOoS
Amoonguss | Whynus
Wo-Chien | Jabba The Hutt
Arcanine | AT-AT
Palafin | The Force
Iron Hands | Darth Vader
Toxapex | MARE CACTUS
Wo-Chien | Mirco
Abomasnow | Enzo forestieri
Flutter Mane | Twilight
Arcanine | Taylor
Dragonite | Dolce
Dragapult | Salvo
Scream Tail | Persephone
Ceruledge | Grim Shady
Salamence | Salami
Ting-Lu | Bucket Head
Palafin | Carp Kent
Arcanine | Iroh
Amoonguss | Sus
Dragapult | Dnite
Wo-Chien | Jabba The Hutt
Arcanine | AT-AT
Palafin | The Force
Iron Hands | Darth Vader
Torkoal | Arizona
Flutter Mane | Utah
Indeedee | Nevada
Hatterene | New Mexico
Drednaw | Gay Bowser
Salandit | Gremlin
Flutter Mane | Sasha Colby
Gyarados | Bianca
Baxcalibur | Katya
Palafin | Dozo
Arcanine | ChiYu
Baxcalibur | Westopolis
Arcanine | Hasan
Gastrodon | Slimecicle
Ting-Lu | Bullwinkle
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Mudsdale | Texas
Ting-Lu | Ting-Moose
Amoonguss | SporeMan
Arcanine | Dogs
Maushold | Deadmau5
Chien-Pao | Kwan-Pao
Dragapult | Mommapult
Grimmsnarl | Gremlin
Flutter Mane | Twilight
Dragonite | Dolce
Dragapult | Salvo
Torkoal | Tapinlow
Jumpluff | Bànhcam
Amoonguss | SUS
Amoonguss | Orange
Flutter Mane | Passionfruit
Stonjourner | Papaya
Farigiraf | Cherry
Chi-Yu | O'Pesc
Flutter Mane | Samara
Palafin | Captain Coral
Flutter Mane | Twilight
Dragonite | Dolce
Dragapult | Salvo
Palafin | Captain Coral
Flutter Mane | Twilight
Dragonite | Dolce
Dragapult | Salvo
Corviknight | CORVUS
Amoonguss | SETI
Ting-Lu | CACEROLA
Flutter Mane | Itachi Rin
Ting-Lu | Misfits
Arcanine | Snoop Dogg
Flutter Mane | Lil Uzi Vert
Dragonite | Best Boy
Ting-Lu | Misfits
Arcanine | Snoop Dogg
Dragonite | Best Boy
Iron Hands | Robot Rock
Ting-Lu | Misfits
Arcanine | Snoop Dogg
Flutter Mane | Lil Uzi Vert
Dragonite | Best Boy
Grafaiai | Sia
Slaking | JVKE
Dragonite | Bruno Mars
Chien-Pao | Charlie Puth
Talonflame | Roy
Amoonguss | Crewmate
Flutter Mane | Sango
Annihilape | Suzaku
Chien-Pao | Bundle
Arcanine | ChiYu
Flutter Mane | Mimi
Palafin | Dozo
Annihilape | Mexicano Comun
Kingambit | GAMBITS
Ting-Lu | TILIN
Flutter Mane | Melenaleteo
Talonflame | Angrybird
Great Tusk | Rockrock
Amoonguss | Shroom
Ditto | Tumor
Grimmsnarl | Micheal Jackson
Garganacl | The Thing
Lilligant | TT
Torkoal | Breakthrough
Kingambit | HOT
Dragonite | Espresso
Murkrow | Matsuemon
Gholdengo | Zenitsu
Great Tusk | Inosuke
Brute Bonnet | Enmu
Flutter Mane | SZA
Ditto | Tumor
Iron Bundle | Hobo Bird
Garganacl | The Thing
Abomasnow | Obama
Rotom | Roomba
Cetitan | Mace
Iron Bundle | Delibot
Ditto | Tumor
Iron Bundle | Hobo Bird
Garganacl | The Thing
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | Sus
Annihilape | The Man
Pelipper | Peeko
Gholdengo | Galbani
Indeedee | Nevada
Hatterene | New Mexico
Torkoal | Arizona
Flutter Mane | Utah
Indeedee | Nevada
Hatterene | New Mexico
Arcanine | Prosector
Gastrodon | Angler
Glimmora | Mycologists
Wo-Chien | Leshy
Amoonguss | mogus
Slither Wing | Worse Nephew
Kingambit | Its Joever
Rotom | Tide
Amoonguss | Worse Nephew
Dondozo | BigBozo
Tatsugiri | LilBozo
Annihilape | Monke
Iron Bundle | Birdo
Chien-Pao | Fang
Lucario | Barry
Volcarona | Mirto
Amoonguss | Champi
Gyarados | Gyarados Rojo
Iron Hands | Sho
Arcanine | Mochi
Annihilape | The Man
Pelipper | Peeko
Gholdengo | Galbani
Brute Bonnet | buhbongalo
Hatterene | sally
Gastrodon | steven
Vivillon | michael
Garganacl | Mr. Chip
Iron Bundle | Birdo
Chien-Pao | Fang
Corviknight | Iron Will
Chien-Pao | Astrumy
Palafin | Above
Dragapult | RulingWillB
Arcanine | CaLdAbOoS
Iron Valiant | Leonardo
Murkrow | Nevermore
Palafin | Triton
Skeledirge | Sans
Iron Moth | Industrial
Torkoal | Evotile
Dragapult | Ghost Trick
Cyclizar | Vrum
Murkrow | Nevermore
Skeledirge | Sans
Farigiraf | Melman
Mudsdale | Applejack
Iron Moth | Industrial
Vaporeon | Abyssmegalo
Torkoal | Evotile
Cyclizar | Vrum
Iron Valiant | Leonardo
Murkrow | Nevermore
Farigiraf | Melman
Vaporeon | Abyssmegalo
Torkoal | Evotile
Dragapult | Ghost Trick
Cyclizar | Vrum
Dondozo | Gen3WaterLegendary
Lilligant | TT
Torkoal | Breakthrough
Kingambit | HOT
Great Tusk | Trouble
Palafin | hero
Chi-Yu | Xtra-chedder
Sandy Shocks | tazer
Glimmora | rock
Talonflame | KFC
Gholdengo | Primus
Flutter Mane | Crinealato
Flutter Mane | Spectral Spaghetti
Iron Jugulis | Mega Dodrio
Great Tusk | Mamoswole
Chi-Yu | Fiendish Fish
Iron Moth | Silver Wing
Florges | Iron Petals
Garchomp | Grandpa
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Arcanine | ChiYu
Dondozo | Big Dozo
Tatsugiri | Lil Giri
Chi-Yu | Pezqueñin
Flutter Mane | Er Coleta
Ting-Lu | Cancer
Amoonguss | Blueball
Arcanine | Goldpup
Palafin | Deku
Torkoal | Breakthrough
Flutter Mane | FANCY
Kingambit | HOT
Great Tusk | Trouble
Arcanine | Pupper
Armarouge | Chorizo
Amoonguss | Enchilada
Flutter Mane | Carne Asada
Kilowattrel | Queso
Great Tusk | Trogonth
Flutter Mane | Sasha Colby
Gyarados | Bianca
Palafin | Winter
Garganacl | The Immortal
Grimmsnarl | Porky
Hydreigon | Dreidra
Flutter Mane | Bottas
Chi-Yu | Hanako
Dondozo | Chonkster
Tatsugiri | Pogsukiri
Iron Bundle | bundle of bitches
Amoonguss | AMOGUS
Palafin | BANKAI
Torkoal | DJEZJA
Flutter Mane | Tranga Rugie
Iron Bundle | Mateus Mora
Breloom | Tattisaurus
Chien-Pao | Nivalis
Flutter Mane | Bottas
Chi-Yu | Hanako
Flutter Mane | flutter ya mane
Chi-Yu | LOVE BETRAYAL
Iron Bundle | bundle of bitches
Iron Hands | catch these hands
Amoonguss | Toad
Arcanine | Brutus
Annihilape | Hoo fung poo
Azumarill | Judy
Chi-Yu | LOVE BETRAYAL
Iron Bundle | bundle of bitches
Palafin | BANKAI
Iron Hands | catch these hands
Chi-Yu | LOVE BETRAYAL
Iron Bundle | bundle of bitches
Iron Hands | catch these hands
Garganacl | The Immortal
Grimmsnarl | Porky
Hydreigon | Dreidra
Arboliva | Majaré
Farigiraf | Agamenon
Gyarados | Dossder
Ting-Lu | Ting-Luigi
Ting-Lu | Father Help
Amoonguss | Friend
Bronzong | dong
Staraptor | GO BIRD
Grimmsnarl | CORINGA
Armarouge | VAMOS JOSE
Amoonguss | SE. TANGANA
Dragonite | ESPAÑITA
Farigiraf | Fridge Giraffe
Amoonguss | Among Us
Arcanine | Firestone
Ting-Lu | Chin Lu Chin Agua
Palafin | Enrik Pastor
Amoonguss | Among Us
Arcanine | Firestone
Ting-Lu | Chin Lu Chin Agua
Palafin | Enrik Pastor
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Iron Bundle | Alfredo
Chien-Pao | Kophi
Amoonguss | Toad
Annihilape | Hoo fung poo
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Flutter Mane | Mimi
Ting-Lu | Ming-Mong
Arcanine | Yellow?
Palafin | Zero
Flutter Mane | Ol' reliable
Azumarill | hard boiled
Cyclizar | rotelle
Iron Moth | tabasco
Weavile | ice cream
Dondozo | DonBOZO
Pincurchin | vegeta
Revavroom | Beamr?hardlyknoher
Lilligant | 大可爱
Oranguru | 不可爱
Annihilape | 很不可爱
Azumarill | hard boiled
Pawmot | banana bread
Cyclizar | rotelle
Meowscarada | salad
Dondozo | DonBOZO
Tatsugiri | Tatsushimi
Girafarig | girafarafarig
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Palafin | Dozo
Amoonguss | WoChien
Arcanine | ChiYu
Flutter Mane | Mimi
Sableye | MindGoblinReturns
Iron Treads | Donphuture
Iron Moth | Iron Mothulus
Flutter Mane | Lizzo
Maushold | Gaming
Tatsugiri | Jerry
Dondozo | Tom
Flutter Mane | Dark Magician
Palafin | Almight
Indeedee | Rem
Hydreigon | 3 Heads
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Florges | Iron Petals
Gyarados | La Gamba
Chi-Yu | Nemo
Annihilape | Superlelo
Flutter Mane | Melameneo
Orthworm | Orthworm Jim
Dragonite | Huggies
Ting-Lu | Bowl-lu
Flutter Mane | Can't think of 1
Chien-Pao | Diego
Arcanine | Bingo
Flutter Mane | Joker
Orthworm | Orthworm Jim
Dragonite | Huggies
Gyarados | PTSD Snek
Flutter Mane | Can't think of 1
Palafin | Willow
Baxcalibur | Pine
Arcanine | Bonsai
Amoonguss | Acacia
Palafin | JoJo
Grimmsnarl | goblin mode
Iron Hands | my beloved
Iron Bundle | santa birdy
Houndstone | buppy
Talonflame | Falco chicquera
Iron Hands | Handsonem
Farigiraf | Uncircumcised
Skeledirge | CrocRock
Azumarill | Lifeguard
Flutter Mane | flutter ya mane
Chi-Yu | LOVE BETRAYAL
Iron Bundle | IDOL
Iron Hands | handful of bitches
Chi-Yu | LOVE BETRAYAL
Iron Bundle | IDOL
Amoonguss | AMOGUS
Iron Hands | handful of bitches
Ting-Lu | Dr. Bullwinkle
Pawmot | Nurse Rocky
Garganacl | ...Rocky
Lokix | Grassflopper
Brambleghast | Ghost Rider
Talonflame | Red Herring
Iron Valiant | Loreline
Ting-Lu | Bowl Ya Over
Torkoal | BIG MAN
Bronzong | bronzdong v2
Breloom | shroom
Abomasnow | white obama
Arcanine | Cerberus
Gholdengo | heybrothahowsitgon
Grafaiai | Uncle Rocky
Ting-Lu | Dr. Bullwinkle
Pawmot | Nurse Rocky
Garganacl | ...Rocky
Kilowattrel | Tropic Storm
Pelipper | Beaky Build
Beartic | Snotcicle
Wo-Chien | Snail Salt
Torkoal | DJEZJA
Lilligant | Wassila
Great Tusk | Taza B2
Iron Bundle | Mateus Mora
Chi-Yu | Nemo
Dachsbun | Chocnut
Baxcalibur | Riko
Rotom | Hanabishi
Palafin | Superlax
Annihilape | The Man
Pelipper | Peeko
Gholdengo | Galbani
Maushold | Procuro Alguém
Annihilape | Fantasmas
Dragonite | 1010
Flutter Mane | LEAL
Naclstack | Terracotta
Flutter Mane | Feelin U?
Amoonguss | Imposter
Iron Hands | E for Everyone!
Umbreon | Sasuke
Naclstack | Terracotta
Tatsugiri | Kimchi
Flutter Mane | Feelin U?
